09/07/2017;09:33;1;5;Error-2
09/07/2017;09:34;7;9;Error-1
09/07/2017;09:35;1;9;Error0
09/07/2017;09:36;2;0;Error1
09/07/2017;09:37;3;1;Error2
09/07/2017;09:38;4;2;Error3
09/07/2017;09:39;2;3;Error4
09/07/2017;09:40;3;4;Error5
09/07/2017;09:41;5;5;Error6
09/07/2017;09:42;6;6;Error7
09/07/2017;09:43;5;7;Error8
09/07/2017;09:44;6;8;Error9
09/07/2017;09:45;4;9;Error10
09/07/2017;09:46;5;0;Error11
09/07/2017;09:47;2;2;Error12
09/07/2017;09:48;3;4;Error13
09/07/2017;09:49;1;6;Error14
09/07/2017;09:50;7;8;Error15
09/07/2017;09:51;5;1;Error16
09/07/2017;09:52;5;3;Error17
09/07/2017;09:53;7;5;Error18
09/07/2017;09:54;6;7;Error19
09/07/2017;09:55;3;9;Error20
09/07/2017;09:56;3;8;Error21
09/07/2017;09:57;7;7;Error22
09/07/2017;09:58;2;6;Error23
09/07/2017;09:59;1;5;Error24
09/07/2017;10:00;6;4;Error25
09/07/2017;10:01;4;3;Error26
09/07/2017;10:02;6;2;Error27
09/07/2017;10:03;7;1;Error28
09/07/2017;10:04;1;0;Error29
09/07/2017;10:05;3;1;Error30
09/07/2017;10:06;6;3;Error31
09/07/2017;10:07;7;5;Error32
09/07/2017;10:08;5;7;Error33
09/07/2017;10:09;3;9;Error34
09/07/2017;10:10;4;0;Error35
09/07/2017;10:11;2;2;Error36
09/07/2017;10:12;1;4;Error37
09/07/2017;10:13;5;6;Error38
09/07/2017;10:14;4;8;Error39
09/07/2017;10:15;4;0;Error40
09/07/2017;10:16;7;9;Error41
09/07/2017;10:17;6;1;Error42
09/07/2017;10:18;1;8;Error43
09/07/2017;10:19;1;2;Error44
09/07/2017;10:20;2;7;Error45
09/07/2017;10:21;3;3;Error46
09/07/2017;10:22;4;6;Error47
09/07/2017;10:23;5;4;Error48
09/07/2017;10:24;6;5;Error49
09/07/2017;10:25;7;9;Error50
09/07/2017;10:26;5;1;Error51
09/07/2017;10:27;3;8;Error52
09/07/2017;10:28;4;2;Error53
09/07/2017;10:29;2;7;Error54
09/07/2017;10:30;1;3;Error55
09/07/2017;10:31;5;6;Error56
09/07/2017;10:32;4;4;Error57
09/07/2017;10:33;5;5;Error58
09/07/2017;10:34;7;0;Error59
09/07/2017;10:35;6;1;Error60
09/07/2017;10:36;1;1;Error61
09/07/2017;10:37;1;9;Error62
09/07/2017;10:38;2;9;Error63
09/07/2017;10:39;3;8;Error64
09/07/2017;10:40;4;8;Error65
09/07/2017;10:41;5;2;Error66
09/07/2017;10:42;6;2;Error67
09/07/2017;10:43;7;3;Error68
09/07/2017;10:44;6;3;Error69
09/07/2017;10:45;3;7;Error70
09/07/2017;10:46;4;7;Error71
09/07/2017;10:47;2;4;Error72
09/07/2017;10:48;1;4;Error73
09/07/2017;10:49;5;6;Error74
09/07/2017;10:50;1;6;Error75
09/07/2017;10:51;2;5;Error76
09/07/2017;10:52;7;5;Error77
09/07/2017;10:53;6;0;Error78
09/07/2017;10:54;1;0;Error79
09/07/2017;10:55;2;1;Error80
09/07/2017;10:56;2;2;Error81
09/07/2017;10:57;3;3;Error82
09/07/2017;10:58;4;0;Error83
09/07/2017;10:59;5;9;Error84
09/07/2017;11:00;6;8;Error85
09/07/2017;11:01;7;7;Error86
09/07/2017;11:02;4;6;Error87
09/07/2017;11:03;3;4;Error88
09/07/2017;11:04;4;8;Error89
09/07/2017;11:05;2;0;Error90
09/07/2017;11:06;4;7;Error91
09/07/2017;11:07;4;9;Error92
09/07/2017;11:08;5;3;Error93
09/07/2017;11:09;6;5;Error94
09/07/2017;11:10;7;9;Error95
09/07/2017;11:11;7;1;Error96
09/07/2017;11:12;3;0;Error97
